"","model","scenario","distance"
"1","ACCESS-CM2","ssp245",0.55
"2","ACCESS-CM2","ssp370",0.525
"3","ACCESS-CM2","ssp585",0.525
"4","ACCESS-ESM1-5","ssp245",0.75
"5","ACCESS-ESM1-5","ssp370",0.8
"6","ACCESS-ESM1-5","ssp585",0.775
